Location,Feature Combination,Metric,Value
New Delhi,meteorological_only,Root Mean Squared Error (Non-zero),220.1492409658493
New Delhi,meteorological_only,R² Score (Non-zero),0.32398406092087384
New Delhi,meteorological_only,Mean Absolute Percentage Error (Non-zero),182.17821177515378
New Delhi,meteorological_only,Mean Squared Percentage Error (Non-zero),2592.3059464044263
New Delhi,meteorological_only,Non-zero Values Percentage,49.107142857142854
New Delhi,meteorological_only,Mean Absolute Error (All),93.1264540494411
New Delhi,meteorological_only,Mean Squared Error (All),24295.876032471373
New Delhi,meteorological_only,Root Mean Squared Error (All),155.87134448791855
New Delhi,meteorological_only,R² Score (All),0.6204117346475
New Delhi,meteorological_only,Mean Absolute Percentage Error (All),9309410182008.88
New Delhi,meteorological_only,Mean Squared Percentage Error (All),4.957612433537299e+24
Shimla,ghi_only,Mean Absolute Error (Non-zero),123.98818313609836
Shimla,ghi_only,Mean Squared Error (Non-zero),29505.57427183804
Shimla,ghi_only,Root Mean Squared Error (Non-zero),171.7718669393741
Shimla,ghi_only,R² Score (Non-zero),0.6490210940588836
Shimla,ghi_only,Mean Absolute Percentage Error (Non-zero),120.25280692752303
Shimla,ghi_only,Mean Squared Percentage Error (Non-zero),819.7346539513594
Shimla,ghi_only,Non-zero Values Percentage,48.946886446886445
Shimla,ghi_only,Mean Absolute Error (All),62.56570382893154
Shimla,ghi_only,Mean Squared Error (All),14465.509786535931
Shimla,ghi_only,Root Mean Squared Error (All),120.27264770734837
Shimla,ghi_only,R² Score (All),0.8040762038036979
Shimla,ghi_only,Mean Absolute Percentage Error (All),1877348621806.7253
Shimla,ghi_only,Mean Squared Percentage Error (All),2.3449852197622246e+23
Shimla,Temperature,Mean Absolute Error (Non-zero),121.24715012856964
Shimla,Temperature,Mean Squared Error (Non-zero),27758.935633534566
Shimla,Temperature,Root Mean Squared Error (Non-zero),166.61013064497178
Shimla,Temperature,R² Score (Non-zero),0.6697979585489049
Shimla,Temperature,Mean Absolute Percentage Error (Non-zero),123.76743204467769
Shimla,Temperature,Mean Squared Percentage Error (Non-zero),959.0065495356978
Shimla,Temperature,Non-zero Values Percentage,48.946886446886445
Shimla,Temperature,Mean Absolute Error (All),62.12403353937772
Shimla,Temperature,Mean Squared Error (All),13609.93205022633
Shimla,Temperature,Root Mean Squared Error (All),116.66161343915286
Shimla,Temperature,R² Score (All),0.8156643220596365
Shimla,Temperature,Mean Absolute Percentage Error (All),2777328645921.384
Shimla,Temperature,Mean Squared Percentage Error (All),2.2797346815868166e+23
Shimla,Relative Humidity,Mean Absolute Error (Non-zero),122.32547085801025
Shimla,Relative Humidity,Mean Squared Error (Non-zero),29508.99128790112
Shimla,Relative Humidity,Root Mean Squared Error (Non-zero),171.7818130300793
Shimla,Relative Humidity,R² Score (Non-zero),0.6489804474831433
Shimla,Relative Humidity,Mean Absolute Percentage Error (Non-zero),125.02266856080351
Shimla,Relative Humidity,Mean Squared Percentage Error (Non-zero),908.5444153730725
Shimla,Relative Humidity,Non-zero Values Percentage,48.946886446886445
Shimla,Relative Humidity,Mean Absolute Error (All),61.94429981674785
Shimla,Relative Humidity,Mean Squared Error (All),14462.802810231593
Shimla,Relative Humidity,Root Mean Squared Error (All),120.2613936815618
Shimla,Relative Humidity,R² Score (All),0.8041128676393723
Shimla,Relative Humidity,Mean Absolute Percentage Error (All),2069790500319.5972
Shimla,Relative Humidity,Mean Squared Percentage Error (All),1.907035292101638e+23
